Fetching Dependent Repos
com.alipay.sofa:hessian - https://github.com/alipay/sofa-hessian - 30
sofastack/sofa-bolt: {'archived': False, 'fork': False, 'html_url': 'https://github.com/sofastack/sofa-bolt', 'stargazers_count': 2356, 'forks_count': 853, 'subscribers_count': 161}
stateIs0/Lu-Rpc: {'archived': False, 'fork': False, 'html_url': 'https://github.com/stateIs0/Lu-Rpc', 'stargazers_count': 262, 'forks_count': 65, 'subscribers_count': 9}
jobop/gekko: {'archived': False, 'fork': False, 'html_url': 'https://github.com/jobop/gekko', 'stargazers_count': 47, 'forks_count': 15, 'subscribers_count': 5}
linux5396/raft-kv: {'archived': False, 'fork': False, 'html_url': 'https://github.com/linux5396/raft-kv', 'stargazers_count': 14, 'forks_count': 6, 'subscribers_count': 3}
pleuvoir/pikaq: {'archived': True, 'fork': False, 'html_url': 'https://github.com/pleuvoir/pikaq', 'stargazers_count': 4, 'forks_count': 5, 'subscribers_count': 0}
legendaryfly/douyin-server: {'archived': False, 'fork': False, 'html_url': 'https://github.com/legendaryfly/douyin-server', 'stargazers_count': 3, 'forks_count': 2, 'subscribers_count': 1}
raftimpl/RaftConsensus: {'archived': False, 'fork': False, 'html_url': 'https://github.com/raftimpl/RaftConsensus', 'stargazers_count': 2, 'forks_count': 1, 'subscribers_count': 2}
SYSU2019DistributionSystemFinal/DistributedKVSystem: {'archived': False, 'fork': False, 'html_url': 'https://github.com/SYSU2019DistributionSystemFinal/DistributedKVSystem', 'stargazers_count': 2, 'forks_count': 0, 'subscribers_count': 3}
xiabaobao19/spring-base-grpc: {'archived': False, 'fork': False, 'html_url': 'https://github.com/xiabaobao19/spring-base-grpc', 'stargazers_count': 2, 'forks_count': 0, 'subscribers_count': 0}
zhongzhh8/Distributed-System: {'archived': False, 'fork': False, 'html_url': 'https://github.com/zhongzhh8/Distributed-System', 'stargazers_count': 2, 'forks_count': 1, 'subscribers_count': 2}
wujiangchao/open-raft: {'archived': False, 'fork': False, 'html_url': 'https://github.com/wujiangchao/open-raft', 'stargazers_count': 2, 'forks_count': 0, 'subscribers_count': 2}
naiveallen/YCache: {'archived': False, 'fork': False, 'html_url': 'https://github.com/naiveallen/YCache', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
roydb/roykv: {'archived': False, 'fork': False, 'html_url': 'https://github.com/roydb/roykv', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 2}
